iteration,strategy,constraint,selected_threshold,in_bag_sensitivity,in_bag_specificity,in_bag_mcc,n_oob,events_oob,oob_threshold,oob_tp,oob_fp,oob_tn,oob_fn,oob_sensitivity_rule_out,oob_specificity_rule_in,oob_positive_predictive_value,oob_negative_predictive_value,oob_balanced_accuracy,oob_f1_score,oob_mcc
281,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.138128412650041,0.9166666666666666,0.6729559748427673,0.4613368640691173,64,11,0.138128412650041,7,26,27,4,0.6363636363636364,0.5094339622641509,0.21212121212121213,0.8709677419354839,0.5728987993138936,0.3181818181818182,0.11006439012669275
281,Rule-in,in-bag specificity >=90%; maximize MCC,0.3853483672502514,0.75,0.9433962264150944,0.6933962264150944,64,11,0.3853483672502514,3,9,44,8,0.2727272727272727,0.8301886792452831,0.25,0.8461538461538461,0.5514579759862779,0.2608695652173913,0.09947745781203773
282,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.1331783683142657,0.9444444444444444,0.5534591194968553,0.387506635168686,70,13,0.1331783683142657,9,19,38,4,0.6923076923076923,0.6666666666666666,0.32142857142857145,0.9047619047619048,0.6794871794871795,0.43902439024390244,0.2849501380883701
282,Rule-in,in-bag specificity >=90%; maximize MCC,0.3724532812743751,0.5,0.9056603773584906,0.41975697907115295,70,13,0.3724532812743751,6,7,50,7,0.46153846153846156,0.8771929824561403,0.46153846153846156,0.8771929824561403,0.6693657219973009,0.46153846153846156,0.33873144399460187
283,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.08798051301095272,0.9444444444444444,0.4779874213836478,0.334554019256391,66,12,0.08798051301095272,11,27,27,1,0.9166666666666666,0.5,0.2894736842105263,0.9642857142857143,0.7083333333333333,0.44,0.325166238571545
283,Rule-in,in-bag specificity >=90%; maximize MCC,0.36861637258647423,0.6111111111111112,0.9182389937106918,0.5351786780416129,66,12,0.36861637258647423,1,6,48,11,0.08333333333333333,0.8888888888888888,0.14285714285714285,0.8135593220338984,0.4861111111111111,0.10526315789473684,-0.03479445003196105
284,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.07026562379745274,0.9722222222222222,0.3584905660377358,0.2806897288972189,71,13,0.07026562379745274,12,33,25,1,0.9230769230769231,0.43103448275862066,0.26666666666666666,0.9615384615384616,0.677055702917772,0.41379310344827586,0.2842710656531868
284,Rule-in,in-bag specificity >=90%; maximize MCC,0.42232282364871987,0.4166666666666667,0.9874213836477987,0.5557652115619252,71,13,0.42232282364871987,0,0,58,13,0.0,1.0,,0.8169014084507042,0.5,0.0,0.0
285,Rule-out,in-bag sensitivity >=90%; maximize MCC,0.1365014320334943,0.9722222222222222,0.5786163522012578,0.4278904543196471,73,14,0.1365014320334943,12,28,31,2,0.8571428571428571,0.5254237288135594,0.3,0.9393939393939394,0.6912832929782082,0.4444444444444444,0.30262868683024197
285,Rule-in,in-bag specificity >=90%; maximize MCC,0.4053786866427263,0.3888888888888889,0.9559748427672956,0.43163143318473823,73,14,0.4053786866427263,6,4,55,8,0.42857142857142855,0.9322033898305084,0.6,0.873015873015873,0.6803874092009685,0.5,0.41310073310094153
